"","wife_age","wife_ed","husband_ed","num_child","wife_religion","wife_working","husband_cc","SOL_index","media_exposure","contraception"
"1",24,2,3,3,1,1,2,3,0,"0"
"2",45,1,3,10,1,1,3,4,0,"0"
"3",43,2,3,7,1,1,3,4,0,"0"
"4",42,3,2,9,1,1,3,3,0,"0"
"5",36,3,3,8,1,1,3,2,0,"0"
"6",19,4,4,0,1,1,3,3,0,"0"
"7",38,2,3,6,1,1,3,2,0,"0"
"8",21,3,3,1,1,0,3,2,0,"0"
"9",27,2,3,3,1,1,3,4,0,"0"
"10",45,1,1,8,1,1,2,2,1,"0"
"11",38,1,3,2,1,0,3,3,1,"0"
"12",42,1,4,4,1,1,1,3,0,"0"
"13",44,4,4,1,1,0,1,4,0,"0"
"14",42,2,4,1,1,0,3,3,0,"0"
"15",38,3,4,2,1,1,2,3,0,"0"
"16",26,2,4,0,1,1,4,1,0,"0"
"17",48,1,1,7,1,1,2,4,0,"0"
"18",39,2,2,6,1,1,2,4,0,"0"
"19",37,2,2,8,1,1,2,3,0,"0"
"20",39,2,1,5,1,1,2,1,1,"0"
"21",26,3,4,1,1,0,4,1,0,"0"
"22",24,3,4,0,1,0,3,1,0,"0"
"23",46,4,4,1,0,1,1,4,0,"0"
"24",39,4,4,1,1,1,1,4,0,"0"
"25",48,4,4,5,1,1,1,4,0,"0"
"26",40,2,4,8,1,1,3,3,0,"0"
"27",38,4,4,1,1,0,1,4,0,"0"
"28",29,4,4,0,1,0,1,4,0,"0"
"29",24,4,4,0,1,0,2,2,0,"0"
"30",43,1,2,8,1,1,2,4,0,"0"
"31",31,3,4,2,1,1,1,4,0,"0"
"32",31,4,4,2,1,1,3,2,0,"0"
"33",26,2,4,0,1,0,1,2,0,"0"
"34",33,2,2,2,1,1,3,1,0,"0"
"35",24,2,3,1,1,1,3,3,0,"0"
"36",42,1,3,9,1,1,3,2,1,"0"
"37",43,1,2,8,1,0,3,1,0,"0"
"38",25,3,3,4,1,1,3,2,0,"0"
"39",42,2,2,3,1,1,3,4,0,"0"
"40",28,2,2,1,1,1,2,4,0,"0"
"41",28,1,1,3,1,1,3,1,0,"0"
"42",47,2,3,0,1,0,1,3,0,"0"
"43",48,2,4,2,1,1,1,3,0,"0"
"44",40,4,4,2,0,1,1,4,0,"0"
"45",28,2,2,1,1,1,3,2,0,"0"
"46",25,1,4,1,1,1,2,1,0,"0"
"47",32,4,4,2,1,1,2,3,0,"0"
"48",45,4,4,0,1,1,2,4,0,"0"
"49",26,4,4,1,1,1,1,4,0,"0"
"50",26,4,4,0,1,0,1,4,0,"0"
"51",31,4,4,0,1,0,1,4,0,"0"
"52",49,4,4,7,0,1,2,4,0,"0"
"53",40,3,4,8,1,1,3,3,0,"0"
"54",34,4,4,1,0,0,2,3,0,"0"
"55",36,2,4,5,1,1,2,3,0,"0"
"56",20,2,2,2,1,1,2,2,1,"0"
"57",43,4,4,5,1,0,1,4,0,"0"
"58",37,3,4,7,1,1,2,1,0,"0"
"59",21,2,3,0,1,1,3,4,0,"0"
"60",49,4,4,6,1,1,1,2,0,"0"
"61",42,3,3,10,1,1,3,3,0,"0"
"62",20,2,3,1,1,1,2,3,0,"0"
"63",47,1,2,2,1,0,1,3,0,"0"
"64",22,2,3,1,1,1,2,1,0,"0"
"65",27,2,4,1,1,0,1,3,0,"0"
"66",24,2,4,1,1,1,3,1,0,"0"
"67",44,4,2,8,1,1,3,3,0,"0"
"68",30,2,3,3,1,1,3,1,0,"0"
"69",23,3,4,2,1,1,3,4,0,"0"
"70",25,4,4,1,1,0,3,3,0,"0"
"71",47,2,3,4,1,1,2,3,0,"0"
"72",48,2,3,8,1,1,1,4,0,"0"
"73",29,2,3,1,1,1,1,1,0,"0"
"74",29,2,3,1,1,1,1,2,0,"0"
"75",21,3,4,0,1,1,2,3,0,"0"
"76",21,3,4,1,1,1,2,3,0,"0"
"77",29,4,4,0,1,0,2,4,0,"0"
"78",45,3,4,3,1,1,1,4,0,"0"
"79",33,2,3,2,1,1,3,2,0,"0"
"80",38,4,4,1,1,0,1,4,0,"0"
"81",24,4,4,0,0,1,1,4,0,"0"
"82",49,4,4,6,0,0,1,4,0,"0"
"83",24,2,4,1,1,0,4,4,0,"0"
"84",28,4,4,0,0,0,1,4,0,"0"
"85",30,4,4,2,1,1,1,4,0,"0"
"86",33,4,4,2,1,1,1,4,0,"0"
"87",25,4,4,1,1,1,1,3,0,"0"
"88",35,4,4,3,0,1,1,4,0,"0"
"89",27,2,4,4,1,1,1,4,0,"0"
"90",24,2,2,3,1,0,2,1,0,"0"
"91",25,2,3,0,1,1,2,1,0,"0"
"92",46,2,4,6,1,1,1,4,0,"0"
