"","instance.number","RI","Na","Mg","Al","Si","K","Ca","Ba","Fe","Type"
"1",1,1.52101,13.64,4.49,1.1,4.27360588571946,0.06,8.75,0,0,1
"2",2,1.51761,13.89,3.6,1.36,4.28675395416645,0.48,7.83,0,0,1
"3",3,1.51618,13.53,3.55,1.54,4.29032244546354,0.39,7.78,0,0,1
"4",4,1.51766,13.21,3.69,1.29,4.28510265339216,0.57,8.22,0,0,1
"5",5,1.51742,13.27,3.62,1.24,4.29155473150981,0.55,8.07,0,0,1
"6",6,1.51596,12.79,3.61,1.62,4.29004839777753,0.64,8.07,0,0.26,1
"7",7,1.51743,13.3,3.6,1.14,4.2916915584923,0.58,8.17,0,0,1
"8",8,1.51756,13.15,3.61,1.05,4.29374171980631,0.57,8.24,0,0,1
"9",9,1.51918,14.04,3.58,1.37,4.27777661330008,0.56,8.3,0,0,1
"10",10,1.51755,13,3.6,1.36,4.29032244546354,0.57,8.4,0,0.11,1
"11",11,1.51571,12.72,3.46,1.56,4.29319542096727,0.67,8.09,0,0.24,1
"12",12,1.51763,12.8,3.66,1.27,4.29059641806799,0.6,8.56,0,0,1
"13",13,1.51589,12.88,3.43,1.4,4.29428772036588,0.69,8.4447657729752,0,0.24,1
"14",14,1.51748,12.86,3.56,1.27,4.29333202365855,0.54,8.38,0,0.17,1
"15",15,1.51763,12.61,3.59,1.31,4.29442417393776,0.58,8.5,0,0,1
"16",16,1.51761,12.81,3.54,1.23,4.29374171980631,0.58,8.39,0,0,1
"17",17,1.51784,12.68,3.67,1.16,4.29196515630522,0.61,8.7,0,0,1
"18",18,1.52196,14.36,3.85,0.89,4.26773748827175,0.15,9.15,0,0,1
"19",19,1.51911,13.9,3.73,1.18,4.27833139833512,0.06,8.89,0,0,1
"20",20,1.51735,13.02,3.54,1.69,4.28675395416645,0.54,8.44,0,0.07,1
"21",21,1.5175,12.82,3.55,1.49,4.2870289060516,0.54,8.52,0,0.19,1
"22",22,1.51966,14.77,3.75,0.29,4.27694385822073,0.03,9,0,0,1
"23",23,1.51736,12.78,3.62,1.29,4.28757858313017,0.59,8.7,0,0,1
"24",24,1.51751,12.7931886549799,3.57,1.35,4.29073337622749,0.62,8.59,0,0,1
"25",25,1.5172,13.38,3.5,1.15,4.28840253264121,0.5,8.43,0,0,1
"26",26,1.51764,12.98,3.54,1.21,4.29045944114839,0.65,8.53,0,0,1
"27",27,1.51793,13.21,3.48,1.41,4.28551573429304,0.59,8.43,0,0,1
"28",28,1.51721,12.87,3.48,1.33,4.29100723628671,0.56,8.43,0,0,1
"29",29,1.51768,12.56,3.52,1.43,4.29251212746613,0.57,8.54,0,0,1
"30",30,1.51784,13.08,3.49,1.28,4.28853979158042,0.6,8.49,0,0,1
